,X,Y,geometry,precinct
0,913175.11,120121.88,POINT (913175.11 120121.88),
1,913175.11,120889.329296,POINT (913175.11 120889.3292964824),
2,913175.11,121656.778593,POINT (913175.11 121656.7785929648),
3,913175.11,122424.227889,POINT (913175.11 122424.2278894472),
4,913175.11,123191.677186,POINT (913175.11 123191.6771859297),
5,913175.11,123959.126482,POINT (913175.11 123959.1264824121),
6,913175.11,124726.575779,POINT (913175.11 124726.5757788945),
7,913175.11,125494.025075,POINT (913175.11 125494.0250753769),
8,913175.11,126261.474372,POINT (913175.11 126261.4743718593),
9,913175.11,127028.923668,POINT (913175.11 127028.9236683417),
10,913175.11,127796.372965,POINT (913175.11 127796.3729648241),
11,913175.11,128563.822261,POINT (913175.11 128563.8222613065),
12,913175.11,129331.271558,POINT (913175.11 129331.2715577889),
13,913175.11,130098.720854,POINT (913175.11 130098.7208542714),
14,913175.11,130866.170151,POINT (913175.11 130866.1701507538),
15,913175.11,131633.619447,POINT (913175.11 131633.6194472362),
16,913175.11,132401.068744,POINT (913175.11 132401.0687437186),
17,913175.11,133168.51804,POINT (913175.11 133168.518040201),
18,913175.11,133935.967337,POINT (913175.11 133935.9673366834),
19,913175.11,134703.416633,POINT (913175.11 134703.4166331658),
20,913175.11,135470.86593,POINT (913175.11 135470.8659296483),
21,913175.11,136238.315226,POINT (913175.11 136238.3152261307),
22,913175.11,137005.764523,POINT (913175.11 137005.7645226131),
23,913175.11,137773.213819,POINT (913175.11 137773.2138190955),
24,913175.11,138540.663116,POINT (913175.11 138540.6631155779),
25,913175.11,139308.112412,POINT (913175.11 139308.1124120603),
26,913175.11,140075.561709,POINT (913175.11 140075.5617085427),
27,913175.11,140843.011005,POINT (913175.11 140843.0110050251),
28,913175.11,141610.460302,POINT (913175.11 141610.4603015075),
29,913175.11,142377.909598,POINT (913175.11 142377.90959799),
30,913175.11,143145.358894,POINT (913175.11 143145.3588944724),
31,913175.11,143912.808191,POINT (913175.11 143912.8081909548),
32,913175.11,144680.257487,POINT (913175.11 144680.2574874372),
33,913175.11,145447.706784,POINT (913175.11 145447.7067839196),
34,913175.11,146215.15608,POINT (913175.11 146215.156080402),
35,913175.11,146982.605377,POINT (913175.11 146982.6053768844),
36,913175.11,147750.054673,POINT (913175.11 147750.0546733668),
37,913175.11,148517.50397,POINT (913175.11 148517.5039698492),
38,913175.11,149284.953266,POINT (913175.11 149284.9532663317),
39,913175.11,150052.402563,POINT (913175.11 150052.4025628141),
40,913175.11,150819.851859,POINT (913175.11 150819.8518592965),
41,913175.11,151587.301156,POINT (913175.11 151587.3011557789),
42,913175.11,152354.750452,POINT (913175.11 152354.7504522613),
43,913175.11,153122.199749,POINT (913175.11 153122.1997487437),
44,913175.11,153889.649045,POINT (913175.11 153889.6490452261),
45,913175.11,154657.098342,POINT (913175.11 154657.0983417085),
46,913175.11,155424.547638,POINT (913175.11 155424.547638191),
47,913175.11,156191.996935,POINT (913175.11 156191.9969346734),
48,913175.11,156959.446231,POINT (913175.11 156959.4462311558),
49,913175.11,157726.895528,POINT (913175.11 157726.8955276382),
50,913175.11,158494.344824,POINT (913175.11 158494.3448241206),
51,913175.11,159261.794121,POINT (913175.11 159261.794120603),
52,913175.11,160029.243417,POINT (913175.11 160029.2434170854),
53,913175.11,160796.692714,POINT (913175.11 160796.6927135678),
54,913175.11,161564.14201,POINT (913175.11 161564.1420100502),
55,913175.11,162331.591307,POINT (913175.11 162331.5913065327),
56,913175.11,163099.040603,POINT (913175.11 163099.0406030151),
57,913175.11,163866.489899,POINT (913175.11 163866.4898994975),
58,913175.11,164633.939196,POINT (913175.11 164633.9391959799),
59,913175.11,165401.388492,POINT (913175.11 165401.3884924623),
60,913175.11,166168.837789,POINT (913175.11 166168.8377889447),
61,913175.11,166936.287085,POINT (913175.11 166936.2870854271),
62,913175.11,167703.736382,POINT (913175.11 167703.7363819095),
63,913175.11,168471.185678,POINT (913175.11 168471.185678392),
64,913175.11,169238.634975,POINT (913175.11 169238.6349748744),
65,913175.11,170006.084271,POINT (913175.11 170006.0842713568),
66,913175.11,170773.533568,POINT (913175.11 170773.5335678392),
67,913175.11,171540.982864,POINT (913175.11 171540.9828643216),
68,913175.11,172308.432161,POINT (913175.11 172308.432160804),
69,913175.11,173075.881457,POINT (913175.11 173075.8814572864),
70,913175.11,173843.330754,POINT (913175.11 173843.3307537689),
71,913175.11,174610.78005,POINT (913175.11 174610.7800502513),
72,913175.11,175378.229347,POINT (913175.11 175378.2293467337),
73,913175.11,176145.678643,POINT (913175.11 176145.6786432161),
74,913175.11,176913.12794,POINT (913175.11 176913.1279396985),
75,913175.11,177680.577236,POINT (913175.11 177680.5772361809),
76,913175.11,178448.026533,POINT (913175.11 178448.0265326633),
77,913175.11,179215.475829,POINT (913175.11 179215.4758291457),
78,913175.11,179982.925126,POINT (913175.11 179982.9251256281),
79,913175.11,180750.374422,POINT (913175.11 180750.3744221106),
80,913175.11,181517.823719,POINT (913175.11 181517.823718593),
81,913175.11,182285.273015,POINT (913175.11 182285.2730150754),
82,913175.11,183052.722312,POINT (913175.11 183052.7223115578),
83,913175.11,183820.171608,POINT (913175.11 183820.1716080402),
84,913175.11,184587.620905,POINT (913175.11 184587.6209045226),
85,913175.11,185355.070201,POINT (913175.11 185355.070201005),
86,913175.11,186122.519497,POINT (913175.11 186122.5194974874),
87,913175.11,186889.968794,POINT (913175.11 186889.9687939698),
88,913175.11,187657.41809,POINT (913175.11 187657.4180904523),
89,913175.11,188424.867387,POINT (913175.11 188424.8673869347),
90,913175.11,189192.316683,POINT (913175.11 189192.3166834171),
91,913175.11,189959.76598,POINT (913175.11 189959.7659798995),
92,913175.11,190727.215276,POINT (913175.11 190727.2152763819),
93,913175.11,191494.664573,POINT (913175.11 191494.6645728643),
94,913175.11,192262.113869,POINT (913175.11 192262.1138693467),
95,913175.11,193029.563166,POINT (913175.11 193029.5631658291),
96,913175.11,193797.012462,POINT (913175.11 193797.0124623115),
97,913175.11,194564.461759,POINT (913175.11 194564.461758794),
98,913175.11,195331.911055,POINT (913175.11 195331.9110552764),
99,913175.11,196099.360352,POINT (913175.11 196099.3603517588),
100,913175.11,196866.809648,POINT (913175.11 196866.8096482412),
101,913175.11,197634.258945,POINT (913175.11 197634.2589447236),
102,913175.11,198401.708241,POINT (913175.11 198401.708241206),
103,913175.11,199169.157538,POINT (913175.11 199169.1575376884),
104,913175.11,199936.606834,POINT (913175.11 199936.6068341708),
105,913175.11,200704.056131,POINT (913175.11 200704.0561306532),
106,913175.11,201471.505427,POINT (913175.11 201471.5054271357),
107,913175.11,202238.954724,POINT (913175.11 202238.9547236181),
108,913175.11,203006.40402,POINT (913175.11 203006.4040201005),
109,913175.11,203773.853317,POINT (913175.11 203773.8533165829),
110,913175.11,204541.302613,POINT (913175.11 204541.3026130653),
111,913175.11,205308.75191,POINT (913175.11 205308.7519095477),
112,913175.11,206076.201206,POINT (913175.11 206076.2012060301),
113,913175.11,206843.650503,POINT (913175.11 206843.6505025126),
114,913175.11,207611.099799,POINT (913175.11 207611.099798995),
115,913175.11,208378.549095,POINT (913175.11 208378.5490954774),
116,913175.11,209145.998392,POINT (913175.11 209145.9983919598),
117,913175.11,209913.447688,POINT (913175.11 209913.4476884422),
118,913175.11,210680.896985,POINT (913175.11 210680.8969849246),
119,913175.11,211448.346281,POINT (913175.11 211448.346281407),
120,913175.11,212215.795578,POINT (913175.11 212215.7955778894),
121,913175.11,212983.244874,POINT (913175.11 212983.2448743719),
122,913175.11,213750.694171,POINT (913175.11 213750.6941708543),
123,913175.11,214518.143467,POINT (913175.11 214518.1434673367),
124,913175.11,215285.592764,POINT (913175.11 215285.5927638191),
125,913175.11,216053.04206,POINT (913175.11 216053.0420603015),
126,913175.11,216820.491357,POINT (913175.11 216820.4913567839),
127,913175.11,217587.940653,POINT (913175.11 217587.9406532663),
128,913175.11,218355.38995,POINT (913175.11 218355.3899497487),
129,913175.11,219122.839246,POINT (913175.11 219122.8392462311),
130,913175.11,219890.288543,POINT (913175.11 219890.2885427136),
131,913175.11,220657.737839,POINT (913175.11 220657.737839196),
132,913175.11,221425.187136,POINT (913175.11 221425.1871356784),
133,913175.11,222192.636432,POINT (913175.11 222192.6364321608),
134,913175.11,222960.085729,POINT (913175.11 222960.0857286432),
135,913175.11,223727.535025,POINT (913175.11 223727.5350251256),
136,913175.11,224494.984322,POINT (913175.11 224494.984321608),
137,913175.11,225262.433618,POINT (913175.11 225262.4336180904),
138,913175.11,226029.882915,POINT (913175.11 226029.8829145728),
139,913175.11,226797.332211,POINT (913175.11 226797.3322110553),
140,913175.11,227564.781508,POINT (913175.11 227564.7815075377),
141,913175.11,228332.230804,POINT (913175.11 228332.2308040201),
142,913175.11,229099.680101,POINT (913175.11 229099.6801005025),
143,913175.11,229867.129397,POINT (913175.11 229867.1293969849),
144,913175.11,230634.578693,POINT (913175.11 230634.5786934673),
145,913175.11,231402.02799,POINT (913175.11 231402.0279899497),
146,913175.11,232169.477286,POINT (913175.11 232169.4772864321),
147,913175.11,232936.926583,POINT (913175.11 232936.9265829145),
148,913175.11,233704.375879,POINT (913175.11 233704.375879397),
149,913175.11,234471.825176,POINT (913175.11 234471.8251758794),
150,913175.11,235239.274472,POINT (913175.11 235239.2744723618),
151,913175.11,236006.723769,POINT (913175.11 236006.7237688442),
152,913175.11,236774.173065,POINT (913175.11 236774.1730653266),
153,913175.11,237541.622362,POINT (913175.11 237541.622361809),
154,913175.11,238309.071658,POINT (913175.11 238309.0716582914),
155,913175.11,239076.520955,POINT (913175.11 239076.5209547738),
156,913175.11,239843.970251,POINT (913175.11 239843.9702512563),
157,913175.11,240611.419548,POINT (913175.11 240611.4195477387),
158,913175.11,241378.868844,POINT (913175.11 241378.8688442211),
159,913175.11,242146.318141,POINT (913175.11 242146.3181407035),
160,913175.11,242913.767437,POINT (913175.11 242913.7674371859),
161,913175.11,243681.216734,POINT (913175.11 243681.2167336683),
162,913175.11,244448.66603,POINT (913175.11 244448.6660301507),
163,913175.11,245216.115327,POINT (913175.11 245216.1153266332),
164,913175.11,245983.564623,POINT (913175.11 245983.5646231156),
165,913175.11,246751.01392,POINT (913175.11 246751.013919598),
166,913175.11,247518.463216,POINT (913175.11 247518.4632160804),
167,913175.11,248285.912513,POINT (913175.11 248285.9125125628),
168,913175.11,249053.361809,POINT (913175.11 249053.3618090452),
169,913175.11,249820.811106,POINT (913175.11 249820.8111055276),
170,913175.11,250588.260402,POINT (913175.11 250588.26040201),
171,913175.11,251355.709698,POINT (913175.11 251355.7096984924),
172,913175.11,252123.158995,POINT (913175.11 252123.1589949749),
173,913175.11,252890.608291,POINT (913175.11 252890.6082914573),
174,913175.11,253658.057588,POINT (913175.11 253658.0575879397),
175,913175.11,254425.506884,POINT (913175.11 254425.5068844221),
176,913175.11,255192.956181,POINT (913175.11 255192.9561809045),
177,913175.11,255960.405477,POINT (913175.11 255960.4054773869),
178,913175.11,256727.854774,POINT (913175.11 256727.8547738693),
179,913175.11,257495.30407,POINT (913175.11 257495.3040703517),
180,913175.11,258262.753367,POINT (913175.11 258262.7533668341),
181,913175.11,259030.202663,POINT (913175.11 259030.2026633166),
182,913175.11,259797.65196,POINT (913175.11 259797.651959799),
183,913175.11,260565.101256,POINT (913175.11 260565.1012562814),
184,913175.11,261332.550553,POINT (913175.11 261332.5505527638),
185,913175.11,262099.999849,POINT (913175.11 262099.9998492462),
186,913175.11,262867.449146,POINT (913175.11 262867.4491457286),
187,913175.11,263634.898442,POINT (913175.11 263634.898442211),
188,913175.11,264402.347739,POINT (913175.11 264402.3477386935),
189,913175.11,265169.797035,POINT (913175.11 265169.7970351758),
190,913175.11,265937.246332,POINT (913175.11 265937.2463316583),
191,913175.11,266704.695628,POINT (913175.11 266704.6956281407),
192,913175.11,267472.144925,POINT (913175.11 267472.1449246231),
193,913175.11,268239.594221,POINT (913175.11 268239.5942211055),
194,913175.11,269007.043518,POINT (913175.11 269007.0435175879),
195,913175.11,269774.492814,POINT (913175.11 269774.4928140703),
196,913175.11,270541.942111,POINT (913175.11 270541.9421105527),
197,913175.11,271309.391407,POINT (913175.11 271309.3914070352),
198,913175.11,272076.840704,POINT (913175.11 272076.8407035175),
199,913175.11,272844.29,POINT (913175.11 272844.29),
200,913950.021558,120121.88,POINT (913950.0215577889 120121.88),
201,913950.021558,120889.329296,POINT (913950.0215577889 120889.3292964824),
202,913950.021558,121656.778593,POINT (913950.0215577889 121656.7785929648),123
203,913950.021558,122424.227889,POINT (913950.0215577889 122424.2278894472),123
204,913950.021558,123191.677186,POINT (913950.0215577889 123191.6771859297),123
205,913950.021558,123959.126482,POINT (913950.0215577889 123959.1264824121),123
206,913950.021558,124726.575779,POINT (913950.0215577889 124726.5757788945),123
207,913950.021558,125494.025075,POINT (913950.0215577889 125494.0250753769),123
208,913950.021558,126261.474372,POINT (913950.0215577889 126261.4743718593),
209,913950.021558,127028.923668,POINT (913950.0215577889 127028.9236683417),
210,913950.021558,127796.372965,POINT (913950.0215577889 127796.3729648241),
211,913950.021558,128563.822261,POINT (913950.0215577889 128563.8222613065),
212,913950.021558,129331.271558,POINT (913950.0215577889 129331.2715577889),
213,913950.021558,130098.720854,POINT (913950.0215577889 130098.7208542714),
214,913950.021558,130866.170151,POINT (913950.0215577889 130866.1701507538),
215,913950.021558,131633.619447,POINT (913950.0215577889 131633.6194472362),
216,913950.021558,132401.068744,POINT (913950.0215577889 132401.0687437186),
217,913950.021558,133168.51804,POINT (913950.0215577889 133168.518040201),
218,913950.021558,133935.967337,POINT (913950.0215577889 133935.9673366834),
219,913950.021558,134703.416633,POINT (913950.0215577889 134703.4166331658),
220,913950.021558,135470.86593,POINT (913950.0215577889 135470.8659296483),
221,913950.021558,136238.315226,POINT (913950.0215577889 136238.3152261307),
222,913950.021558,137005.764523,POINT (913950.0215577889 137005.7645226131),
223,913950.021558,137773.213819,POINT (913950.0215577889 137773.2138190955),
224,913950.021558,138540.663116,POINT (913950.0215577889 138540.6631155779),
225,913950.021558,139308.112412,POINT (913950.0215577889 139308.1124120603),
226,913950.021558,140075.561709,POINT (913950.0215577889 140075.5617085427),
227,913950.021558,140843.011005,POINT (913950.0215577889 140843.0110050251),
228,913950.021558,141610.460302,POINT (913950.0215577889 141610.4603015075),
229,913950.021558,142377.909598,POINT (913950.0215577889 142377.90959799),
230,913950.021558,143145.358894,POINT (913950.0215577889 143145.3588944724),
231,913950.021558,143912.808191,POINT (913950.0215577889 143912.8081909548),
