Precinct,X Center,Y Center
1,980907.72266,197854.980252
5,985041.130169,200285.747816
6,983590.08879,206569.382851
7,988700.428709,199930.451233
9,988854.611064,203875.071648
10,983782.262057,212718.003901
13,988562.465975,208164.852634
14,987813.55927,213263.286136
17,992250.019241,212987.906028
18,988404.208211,217366.797932
19,996292.220012,220826.640578
20,989318.969737,223230.252929
22,993788.520145,224355.325004
23,999608.05507,227534.145818
24,992536.030882,229141.246394
25,1003519.41006,229525.11042
26,995626.750833,235107.469135
28,997805.403754,232427.034322
30,998210.048012,240244.180104
32,1000670.96631,237763.31186
33,1000725.6426,245711.12176
34,1004419.03742,253363.714558
40,1007372.26341,234723.574678
41,1015314.75953,235657.407231
42,1012299.11553,242615.686676
43,1022575.19226,239782.826962
44,1006166.9168,243064.775335
45,1034940.10215,248580.972155
46,1009265.8575,249969.271265
47,1025082.92471,262447.399306
48,1015339.9163,248930.291382
49,1024713.5816,251208.893556
50,1011769.40736,264436.77714
52,1015684.68993,254938.877261
60,989215.373972,150822.841509
61,998377.04718,155782.239538
62,986017.143668,160503.651121
63,1009238.9099,160677.816561
66,988894.726111,169249.811327
67,1002616.11616,175386.432746
68,977737.971075,166346.53602
69,1014214.42643,170498.185555
70,995597.266712,169478.159288
71,998974.713139,180756.854486
72,983934.834406,176807.196915
73,1008955.39754,182718.033556
75,1018265.79232,181367.529139
76,983357.686588,186743.231389
77,999532.875017,184846.395163
78,990654.374881,183139.890172
79,998342.445566,190389.906659
81,1003853.33441,189087.458011
83,1007310.74312,192332.299574
84,987327.982154,192418.331794
88,992466.25644,191658.96543
90,999046.693871,197474.338099
94,998739.066051,203444.31888
100,1024977.57375,152370.101554
101,1049989.46462,158121.627094
102,1028170.30916,193026.546937
103,1043573.55266,195716.967919
104,1014598.68373,198258.036133
105,1057214.87475,194441.345317
106,1030648.77511,183150.020638
107,1040412.45248,203897.982765
108,1005582.68189,209066.145352
109,1035324.58581,220463.847051
110,1023097.60889,210250.236358
111,1050962.14769,215054.449482
112,1025899.11023,202521.281356
113,1044897.37886,180185.775358
114,1007963.72676,219828.080992
115,1018540.35659,217138.899198
120,957484.301704,167093.708723
121,938099.297101,160404.75014
122,952046.399962,148981.095716
123,927027.029654,134921.986306
